title,artist,af_score,review_date,pf_score,best_new_music,author,pub_date,id
(iii),crystal castles,4.0,2012-11-13,8.0,0.0,ian cohen,2012-11-12,1NIfkZIYVAO6vnfmFOilHc
...and then you shoot your cousin,the roots,4.0,2014-05-23,7.2,0.0,jayson greene,2014-05-23,6kYqws8vRcaUKTjFnJRb4X
1999,joey bada$$,7.0,2012-06-18,8.0,0.0,felipe delerme,2012-06-26,5ra51AaWF3iVebyhlZ1aqq
2,mac demarco,6.0,2012-10-30,8.2,1.0,sam hockley-smith,2012-10-31,0Skv3s5A99n7dstiJOs0aA
2014 forest hills drive,j. cole,6.0,2014-12-08,6.9,0.0,craig jenkins,2014-12-11,0UMMIkurRUmkruZ3KGBLtG
"22, a million",bon iver,5.0,2016-10-04,9.0,1.0,amanda petrusich,2016-09-30,4bJCKmpKgti10f3ltz6LLl
24k magic,bruno mars,7.0,2016-11-22,6.2,0.0,katherine st. asaph,2016-12-02,4PgleR09JVnm3zY1fW3XBA
25,adele,7.0,2015-11-23,7.3,0.0,amanda petrusich,2015-11-23,3AvPX1B1HiFROvYjLb5Qwi
3001: a laced odyssey,flatbush zombies,6.0,2016-03-15,7.2,0.0,kathy iandoli,2016-03-16,4Qohh8LwXoV7ucmjCU4MYL
36 seasons,ghostface killah,5.0,2014-12-07,6.0,0.0,ian cohen,2014-12-10,2MNtOTfhYOxIw5xWEQHUvZ
4 your eyez only,j. cole,6.0,2016-12-12,6.7,0.0,paul a. thompson,2016-12-14,3CCnGldVQ90c26aFATC1PW
50 words for snow,kate bush,7.0,2011-11-22,8.5,1.0,ryan dombal,2011-11-21,1sFrZZRJfBb3QHfcIgaRUP
6 feet beneath the moon,king krule,7.0,2013-08-29,7.3,0.0,jayson greene,2013-08-29,6uvdXVgHsioxRIo0cFnkD7
90059,jay rock,6.0,2015-09-15,8.0,0.0,craig jenkins,2015-10-01,1fsvlnonD95p6VTEdQ7zJn
93 million miles,africa hitech,8.0,2011-08-21,8.2,0.0,hari ashurst,2011-05-16,6If5OaFCWaoPUEdoUUIeWA
99.9%,kaytranada,6.0,2016-05-19,8.0,0.0,jonah bromwich,2016-05-13,6JD4Qerb8IcaAzFgpFw0sa
a head full of dreams,coldplay,5.0,2015-12-10,4.8,0.0,stuart berman,2015-12-04,3cfAM8b8KqJRoIzt3zLKqw
a moon shaped pool,radiohead,8.0,2016-05-10,9.1,1.0,jayson greene,2016-05-11,2ix8vWvvSp2Yo7rKMiWpkg
a new place 2 drown,archy marshall,4.0,2015-12-14,8.6,1.0,jayson greene,2015-12-11,74YcGj6qapwglRZqlY6bzL
a sailor's guide to earth,sturgill simpson,8.0,2016-04-26,8.0,0.0,corban goble,2016-04-19,5I3UdCxtIh6hkQ7rMPUvA4
a seat at the table,solange,8.0,2016-10-12,8.7,1.0,julianne escobedo shepherd,2016-10-05,3Yko2SxDk4hc6fncIBQlcM
a u r o r a,ben frost,5.0,2014-06-06,8.5,1.0,brandon stosuy,2014-05-30,6BNTT1PhboEhAW4Tsphx3e
a weird exits,thee oh sees,8.0,2016-08-19,7.5,0.0,stuart berman,2016-08-12,2c49IwWfBsMlrLSsyzPoBf
a world lit only by fire,godflesh,7.0,2014-10-18,8.0,0.0,jason heller,2014-10-06,1UbMFz1E6gcjrIvqohXoBk
aa,baauer,6.0,2016-03-22,7.3,0.0,jonah bromwich,2016-03-23,0BSElBH4VQnNOiTW4zNRO4
abandon all life,nails,7.0,2013-03-20,8.0,0.0,brandon stosuy,2013-04-04,0HCZqugYM0BJmzsJJs5Mb5
abyss,chelsea wolfe,8.0,2015-08-10,8.1,0.0,brandon stosuy,2015-08-07,7bDxnaImZCM2TJbsI1gMVi
abzu,absu,8.0,2011-10-19,7.4,0.0,grayson currin,2011-10-11,1esQITow8cGQZqn1XtNRrK
acid rap,chance the rapper,6.0,2013-05-07,8.4,1.0,jeff weiss,2013-05-07,2VBcztE58pBKjIDS5oEgFh
acousmatic sorcery,willis earl beal,4.0,2012-04-09,7.2,0.0,mark richardson,2012-04-02,3bq3v9Fp24GXbSQcOYpAuj
adore life,savages,6.0,2016-01-22,8.0,0.0,brandon stosuy,2016-01-18,2UutOV48eYbIPB6keWOqoP
aesthethica,liturgy,8.0,2011-05-12,8.3,0.0,jayson greene,2011-05-13,4qutu7PdlUa7ZdYzsXI1EW
afraid of heights,wavves,6.0,2013-04-01,7.8,0.0,larry fitzmaurice,2013-03-26,7tbCuIt9zm1fRQyH2berwK
album of the year,black milk,4.0,2010-09-20,7.5,0.0,nate patrin,2010-09-15,2ZQedN95ddF8NpF2t7DGhn
aleph,gesaffelstein,5.0,2013-12-09,7.8,0.0,jamieson cox,2013-11-08,3MiiF9utmtGnLVITgl0JP7
all eternals deck,the mountain goats,8.0,2011-03-01,8.1,0.0,grayson currin,2011-03-28,2owrP2lU6hfC5sffrloIc0
all love's legal,planningtorock,10.0,2014-04-01,7.5,0.0,jessica suarez,2014-02-14,0Cc7BlKV0vZnGPx0fAFqY7
all things will unwind,my brightest diamond,6.0,2011-11-06,6.5,0.0,amanda petrusich,2011-10-19,3yymXzDoa1lX5UvhMTSYZd
all we need,raury,5.0,2015-10-24,6.8,0.0,sheldon pearce,2015-10-16,5UOaWbjsdPwjPzzQbCGPWl
alone together,karriem riggins,8.0,2012-10-23,7.8,0.0,jonah bromwich,2012-11-09,3Z295aI1J54wiMXVkj21wu
always strive and prosper,a$ap ferg,2.0,2016-04-26,7.3,0.0,kathy iandoli,2016-04-26,2h5LDCGJCWUyaoEXQZHky6
am,arctic monkeys,3.0,2013-09-08,8.0,0.0,ryan dombal,2013-09-11,78bpIziExqiI9qztvNFlQu
america,dan deacon,5.0,2012-09-07,7.1,0.0,jess harvell,2012-08-30,0zoMcjh0JGi1tb53kKr49e
americana,neil young,7.0,2012-06-06,6.1,0.0,stuart berman,2012-06-01,1VfoJdwAjt5vbcg8TuczNY
amnesty (i),crystal castles,4.0,2016-08-24,6.8,0.0,evan rytlewski,2016-08-30,03CgI5yzuOcyRkkDOyCazP
amok,atoms for peace,7.0,2013-02-26,6.9,0.0,stuart berman,2013-02-25,77Ie9frENeQwYUGHrrS0pk
an awesome wave,alt-j,8.0,2012-10-05,4.8,0.0,laura snapes,2012-09-28,6k3vC8nep1BfqAIJ81L6OL
an object,no age,6.0,2013-08-17,6.2,0.0,ian cohen,2013-08-20,1d5SkzRqi6YjMljh4f3gWb
anchor,zammuto,6.0,2014-09-01,5.1,0.0,larry fitzmaurice,2014-09-05,4iP9V87AekuxNCddqN1oH2
angel guts: red classroom,xiu xiu,7.0,2014-02-18,6.6,0.0,ian cohen,2014-02-05,7nox0SRTfTyUKyfbNusbbN
angles,the strokes,7.0,2011-03-24,5.9,0.0,ryan dombal,2011-03-21,6Jx4cGhWHewTcfKDJKguBQ
annabel dream reader,the wytches,8.0,2014-12-05,5.8,0.0,jason heller,2014-08-27,2F9zOHHom6ADDZEeGyDPga
another eternity,purity ring,4.0,2015-03-31,6.6,0.0,ian cohen,2015-03-02,28dGCkeoBowoDG6ePFSuYd
