,title,artist,af_score,review_date,pf_score,best_new_music,author,pub_date,id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,date
0,(iii),crystal castles,4.0,2012-11-13,8.0,0.0,ian cohen,2012-11-12,1NIfkZIYVAO6vnfmFOilHc,198021.91666666666,48.666666666666664,0.5525833333333333,0.102301625,0.6501666666666667,0.40204083333333335,0.19693333333333332,-8.1415,0.12035000000000001,1325376000.0
1,...and then you shoot your cousin,the roots,4.0,2014-05-23,7.2,0.0,jayson greene,2014-05-23,6kYqws8vRcaUKTjFnJRb4X,182099.0,19.818181818181817,0.5262727272727272,0.543390909090909,0.48260000000000003,0.028601649090909096,0.17786363636363636,-12.292272727272728,0.14835454545454543,1400457600.0
2,1999,joey bada$$,7.0,2012-06-18,8.0,0.0,felipe delerme,2012-06-26,5ra51AaWF3iVebyhlZ1aqq,245861.2,56.53333333333333,0.628,0.38426,0.7626666666666666,0.030334504666666668,0.22133333333333333,-4.5722,0.2776666666666667,1339459200.0
3,2,mac demarco,6.0,2012-10-30,8.2,1.0,sam hockley-smith,2012-10-31,0Skv3s5A99n7dstiJOs0aA,162884.92307692306,35.76923076923077,0.5367692307692308,0.19789753846153843,0.6524615384615384,0.25243846153846156,0.20945384615384616,-7.800307692307692,0.060246153846153845,1376006400.0
4,2014 forest hills drive,j. cole,6.0,2014-12-08,6.9,0.0,craig jenkins,2014-12-11,0UMMIkurRUmkruZ3KGBLtG,298749.8461538461,15.615384615384615,0.6392307692307693,0.4023307692307692,0.5753076923076923,0.005663534615384615,0.18431538461538463,-8.981384615384616,0.26742307692307693,1418083200.0
5,"22, a million",bon iver,5.0,2016-10-04,9.0,1.0,amanda petrusich,2016-09-30,4bJCKmpKgti10f3ltz6LLl,205130.1,55.1,0.4204,0.8675,0.3003,0.15154804,0.11478,-12.6312,0.0873,1475193600.0
6,24k magic,bruno mars,7.0,2016-11-22,6.2,0.0,katherine st. asaph,2016-12-02,4PgleR09JVnm3zY1fW3XBA,223559.33333333334,72.88888888888889,0.6905555555555556,0.04279,0.6903333333333334,7.864444444444444e-06,0.13526666666666667,-5.385222222222222,0.06698888888888889,1479340800.0
7,25,adele,7.0,2015-11-23,7.3,0.0,amanda petrusich,2015-11-23,3AvPX1B1HiFROvYjLb5Qwi,264172.45454545453,74.18181818181819,0.4964545454545455,0.3686927272727273,0.500090909090909,2.2772727272727273e-06,0.14803636363636363,-6.171818181818182,0.042763636363636365,1447977600.0
8,3001: a laced odyssey,flatbush zombies,6.0,2016-03-15,7.2,0.0,kathy iandoli,2016-03-16,4Qohh8LwXoV7ucmjCU4MYL,304626.3333333333,49.666666666666664,0.6595833333333333,0.23605833333333334,0.49866666666666665,0.0130734275,0.16722499999999998,-11.16475,0.27744166666666664,1457654400.0
9,36 seasons,ghostface killah,5.0,2014-12-07,6.0,0.0,ian cohen,2014-12-10,2MNtOTfhYOxIw5xWEQHUvZ,172908.64285714287,21.0,0.6221428571428572,0.1309955714285714,0.676142857142857,0.05973195357142857,0.30975714285714284,-6.666857142857142,0.19311428571428574,1418083200.0
