,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Plague,(III),Crystal Castles,2012-01-01,295880,49,0.437,0.0195,0.437,0.649,0.822,0.104,-9.473,0.0675,130.169,4
1,Kerosene,(III),Crystal Castles,2012-01-01,192000,60,0.519,0.0827,0.519,0.546,0.0,0.133,-9.368,0.0763,115.799,4
2,Wrath Of God,(III),Crystal Castles,2012-01-01,186626,43,0.396,0.00263,0.396,0.626,0.746,0.106,-9.41,0.0515,129.979,4
3,Affection,(III),Crystal Castles,2012-01-01,156706,47,0.656,0.0575,0.656,0.829,0.00783,0.137,-7.107,0.0459,124.64,4
4,Pale Flesh,(III),Crystal Castles,2012-01-01,178800,48,0.596,0.000173,0.596,0.625,0.00726,0.17,-7.62,0.0506,139.955,4
5,Sad Eyes,(III),Crystal Castles,2012-01-01,207026,44,0.44,5.25e-05,0.44,0.801,0.386,0.0732,-7.357,0.0342,135.017,4
6,Insulin,(III),Crystal Castles,2012-01-01,106826,41,0.679,0.619,0.679,0.658,0.85,0.191,-5.981,0.607,122.504,4
7,Transgender,(III),Crystal Castles,2012-01-01,184760,68,0.522,0.000164,0.522,0.914,0.847,0.24,-8.285,0.0379,137.939,3
8,Violent Youth,(III),Crystal Castles,2012-01-01,261653,52,0.717,0.146,0.717,0.735,0.23,0.386,-7.96,0.126,130.995,4
9,Telepath,(III),Crystal Castles,2012-01-01,234506,50,0.84,0.0942,0.84,0.33,0.0214,0.374,-9.449,0.263,132.992,4
10,Mercenary,(III),Crystal Castles,2012-01-01,158480,39,0.524,0.0127,0.524,0.777,0.028,0.31,-7.84,0.0495,126.99,4
11,Child I Will Hurt You,(III),Crystal Castles,2012-01-01,213000,43,0.305,0.193,0.305,0.312,0.879,0.139,-7.848,0.0348,65.338,4
12,Theme From Middle Of The Night,...and then you shoot your cousin,The Roots,2014-05-19,87226,0,0.179,0.959,0.179,0.164,0.000125,0.114,-17.64,0.0404,82.022,4
13,Never,...and then you shoot your cousin,The Roots,2014-05-19,234293,27,0.514,0.585,0.514,0.419,0.0153,0.0883,-11.428,0.112,119.712,4
14,When The People Cheer,...and then you shoot your cousin,The Roots,2014-05-19,181493,30,0.689,0.122,0.689,0.367,0.0,0.0938,-13.245,0.326,78.985,4
